Kode Produk;Nama Produk;Nama Material;Jumlah Per Karton;Satuan
;;CHEMICAL AQUADEST ;5,457183114;KG
;;;;
4010116002;WETKINS ANTISEPTIC 80S FT @4;JR FN 40-76 H 20% R/80%P 36 CM;0,29952;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50SFT @4347;4;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;4;PCS
;;STC FLIPTOP WKN ANTISEPTIC 80S FT ;4;PCS
;;FLIP TOP WHITE (NEW CHINA) ;4;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,000914285;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,001462856;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,001523808;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,002438093;KG
;;CHEMICAL AQUADEST ;1,212707359;KG
;;;;
4010117001;WETKINS CLEAN & FLUSH 10S @108;JR FLUSHABLE (IMPORT) 15 CM;1,11375;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN CLEAN & FLUSH 10S @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;PLASTIK PP 20X31 CM ;9;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,028729181;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,021439688;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO ;0,004287938;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004287938;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005359922;KG
;;CHEMICAL AQUADEST ;4,223832834;KG
;;;;
4010117003;WETKINS CLEAN & FLUSH 30S @48;WIP WETKINS CLEAN & FLUSH 30S ;48;PCK
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;;;
3050109002;WIP WETKINS CLEAN & FLUSH 72S ;JR FLUSHABLE (IMPORT) 15 CM;1,47015;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN CLEAN & FLUSH 72S  @4545;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;STC FLIPTOP CLEAN & FLUSH 72S FT ;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,037922519;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,028300388;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,005660078;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,005660078;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,007075097;KG
;;CHEMICAL AQUADEST ;5,575459341;KG
;;;;
4010117002;WETKINS CLEAN & FLUSH 72S @18;WIP WETKINS CLEAN & FLUSH 72S ;18;PCK
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;STC FLIPTOP CLEAN & FLUSH 72S FT ;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;;;
3050109001;WIP WETKINS CLEAN & FLUSH 30S ;JR FLUSHABLE (IMPORT) 15 CM;1,225;KG
;;PACKAGING WKN CLEAN&FLUSH 30S @5000;36;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;36;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,031602099;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,023583656;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,004716731;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004716731;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005895914;KG
;;CHEMICAL AQUADEST ;4,646216118;KG
;;;;
4010117004;WETKINS CLEAN & FLUSH 30S @36;WIP WETKINS CLEAN & FLUSH 30S ;36;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;;;
4010117005;WETKINS CLEAN & FLUSH 72S @16;WIP WETKINS CLEAN & FLUSH 72S ;16;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;STC FLIPTOP CLEAN & FLUSH 72S FT ;16;PCS
;;FLIP TOP WHITE (NEW CHINA) ;16;PCS
;;;;
4010117006;WETKINS CLEAN & FLUSH 72S @20;WIP WETKINS CLEAN & FLUSH 72S ;20;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;STC FLIPTOP CLEAN & FLUSH 72S FT ;20;PCS
;;FLIP TOP WHITE (NEW CHINA) ;20;PCS
;;;;
4010119001;WETKINS PET WIPES 80S BTL @20;MR FN 45-76 H 50%R/50%P 160 CM;1,944;KG
;;CARTON BOX NAOMI 80S ;1;PCS
;;KERTAS LABEL PET WIPES ;20;PCS
;;BOTOL NAOMI ;20;PCS
;;CAP BOTOL NAOMI UNGU ;20;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0048114;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,00769824;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0192456;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,008019;KG
;;PARFUM CITRON LEMON R 0311172 ;0,0128304;KG
;;CHEMICAL AQUADEST ;6,36259536;KG
;;;;
4010119002;WETKINS PET WIPES 80S @16;JR FN 40-76 H 20% R/80%P 20 CM;1,92;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WKN PET WIPES 100S @4000;16;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;16;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004752;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0076032;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,019008;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00792;KG
;;PARFUM CITRON LEMON R 0311172 ;0,012672;KG
;;CHEMICAL AQUADEST ;6,2840448;KG
;;;;
4010120001;WETKINS FRESHENING 18S @18;JR FN 80-25 D 50%R/40%P/10%ES 25 CM;1,944;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING PATIENT WASH CLT BLACK @3846;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;STC FLIPTOP WKN FRESHENING 18S FT ;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0056133;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0089813;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0112266;KG
;;PARFUM GREEN CANYON ;0,0074844;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0112266;KG
;;PARFUM VITAMIN E OIL ACETATE ;0,0007484;KG
;;CHEMICAL AQUADEST ;7,4391194;KG
;;;;
4010120003;WETKINS FRESHENING TOWEL 10S @24;JR FN 70-25 D 50%R/42.5%P/7.5%ES 21 CM;0,98784;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING  GENERAL WET WIPES - HITAM @4761;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;STC FLIPTOP WKN FRESHENING 10S FT ;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0056133;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0089813;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0112266;KG
;;PARFUM GREEN TEA ;0,0074844;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0112266;KG
;;PARFUM VITAMIN E OIL ACETATE ;0,0007484;KG
;;CHEMICAL AQUADEST ;7,4391194;KG
;;;;
4010120002;WETKINS FRESHENING TOWEL 1S @432;;;
;;;;
4010120004;WETKINS FRESHENING TOWEL 1S @24X24;JR FN 70-25 D 50%R/42.5%P/7.5%ES 25 CM;2,016;KG
;;PACKAGING WKN FRESHENING 1S @8888;576;PCS
;;PLASTIK PP 20X31 CM ;0,10056;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0056133;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0089813;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0112266;KG
;;PARFUM GREEN TEA ;0,0074844;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0093555;KG
;;CHEMICAL AQUADEST ;7,4417389;KG
;;;;
3050104001;WIP WETKINS BAYI BARU LAHIR 50S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;0,7488;KG
;;PACKAGING WKN BAYI BARU LAHIR @4807;16;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;16;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,027706;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,001385;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,003325;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,002078;KG
;;PARFUM INVISIBLE MOD ;0,001385;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,003463;KG
;;CHEMICAL OLIVE OIL/PORTA OLIVE ;0,002771;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,008312;KG
;;CHEMICAL AQUADEST ;2,720136;KG
;;;;
4010123001;WETKINS BAYI BARU LAHIR 50S BND @8X2;WIP WETKINS BAYI BARU LAHIR 50S ;16;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;FLIP TOP WHITE (NEW CHINA) ;16;PCS
;;STC FLIPTOP WKN BAYI BARU LAHIR @2000;16;PCS
;;STC LABEL BND WETKINS BELI 1 GRATIS 1 @5000;16;PCS
;;;;
3050104002;WIP WETKINS BAYI BARU LAHIR 80S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,19808;KG
;;PACKAGING WKN PINK 80S FT @4166;16;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;16;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,044329;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002216;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005319;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,003325;KG
;;PARFUM INVISIBLE MOD ;0,002216;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005541;KG
;;CHEMICAL OLIVE OIL/PORTA OLIVE ;0,004433;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,013299;KG
;;CHEMICAL AQUADEST ;4,352217;KG
;;;;
4010123002;WETKINS BAYI BARU LAHIR 80S BND @8X2;WIP WETKINS BAYI BARU LAHIR 80S ;16;PCK
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;FLIP TOP WHITE (NEW CHINA) ;16;PCS
;;STC FLIPTOP WKN BAYI BARU LAHIR @2000;16;PCS
;;STC LABEL BND WETKINS BELI 1 GRATIS 1 @5000;16;PCS
;;;;
3050105001;WIP WETKINS GANTI POPOK 50S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;0,7488;KG
;;PACKAGING WKN GANTI POPOK @4807;16;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;16;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,001385;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,003325;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,004156;KG
;;PARFUM POWDERY/TLJ 80050 ;0,002771;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,003463;KG
;;CHEMICAL ABLUMINE/SANISOL ;0,001385;KG
;;CHEMICAL CHAMOMILE EXTRACT ;0,002771;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,008312;KG
;;CHEMICAL AQUADEST ;2,742993;KG
;;;;
4010124001;WETKINS GANTI POPOK 50S BND @8X2;WIP WETKINS GANTI POPOK 50S ;16;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;FLIP TOP WHITE (NEW CHINA) ;16;PCS
;;STC FLIPTOP WKN GANTI POPOK @2000;16;PCS
;;STC LABEL BND WETKINS BELI 1 GRATIS 1 @5000;16;PCS
;;;;
3050105002;WIP WETKINS GANTI POPOK 80S ;JR FN 40-76 H 20% R/80%P 36 CM ADPZ40;1,19808;KG
;;PACKAGING WKN BLUE 80S FT @4166;16;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;16;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002216448;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005319475;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,006649344;KG
;;PARFUM POWDERY/TLJ 80050 ;0,004432896;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00554112;KG
;;CHEMICAL ABLUMINE/SANISOL ;0,002216448;KG
;;CHEMICAL CHAMOMILE EXTRACT ;0,004432896;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,013298688;KG
;;CHEMICAL AQUADEST ;4,388788685;KG
;;;;
4010124002;WETKINS GANTI POPOK 80S BND @8X2;WIP WETKINS GANTI POPOK 80S ;16;PCK
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;FLIP TOP WHITE (NEW CHINA) ;16;PCS
;;STC FLIPTOP WKN GANTI POPOK @2000;16;PCS
;;STC LABEL BND WETKINS BELI 1 GRATIS 1 @5000;16;PCS
;;;;
4010121001;WETKINS SANITIZING UNSCENTED 10S @108;;;
4010121002;WETKINS SANITIZING UNSCENTED 24S @54;;;
4010121003;WETKINS SANITIZING UNSCENTED 24S @72;;;
4010121004;WETKINS SANITIZING UNSCENTED 50S @24;;;
;;;;
4010222001;FALMED HAND SANITIZER 60 ML @60;CARTON BOX FLD HAND SANITIZER 60ML D3.5 ;1.00;PCS
;;BOTOL+TUTUP HAND SANITIZER 3.5 QUANZHOU ;60.00;PCS
;;STC LABEL FLD HAND SANITIZER 60 ML ;60.00;PCS
;;INNER BOX HAND SANITIZER 60 ML ;2.00;PCS
;;CHEMICAL ETHANOL/ETHYL ALCOHOL ;2,887632;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,01188;KG
;;PARFUM CITRON LEMON R 0311172 ;0,003168;KG
;;CHEMICAL PROPYLENE GLYCOL ;0,099;KG
;;CHEMICAL AQUADEST ;0,95832;KG
;;;;
4010222002;FALMED HAND SANITIZER 1 LT @6;CARTON BOX FLD HAND SANITIZER 1 LT @6 ;1;PCS
;;STC LABEL HAND SANITIZER 1 L ;6;PCS
;;JERIGEN PLASTIK 1 LT ;6;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,165;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0198;KG
;;PARFUM CITRON LEMON R 0311172 ;0,00528;KG
;;CHEMICAL ETHANOL/ETHYL ALCOHOL ;4,81272;KG
;;CHEMICAL AQUADEST ;1,5972;KG
;;;;
4010222003;FALMED HAND SANITIZER 5 LT @2;CARTON BOX FLD HAND SANITIZER 5 LT @2 ;1;PCS
;;STC LABEL HAND SANITIZER 5 L ;2;PCS
;;JERIGEN PLASTIK 5 LT ;2;PCS
;;CHEMICAL PROPYLENE GLYCOL ;0,275;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,033;KG
;;CHEMICAL ETHANOL/ETHYL ALCOHOL ;8,019;KG
;;PARFUM CITRON LEMON R 0311172 ;0,011;KG
;;CHEMICAL AQUADEST ;2,662;KG
;;;;
4010223001;FALMED ALCOHOL WIPES 1S @48X20;JR FN 45-76 H 20% R/80%P 20 CM;1,0368;KG
;;CARTON BOX FLD ALCOHOL WIPES @48X20 ;1;
;;INNER BOX ALCOHOL WIPES ;48;PCS
;;PACKAGING FLD ALCOHOL WIPES 1S @25000;960;PCS
;;CHEMICAL ISOPROPYL ALCOHOL (IPA) ;2,8351175;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0120285;KG
;;CHEMICAL AQUADEST ;1,1623541;KG
;;;;
4010223002;FALMED ALCOHOL HAND SANITIZING 90S BTL @9;MR FN 50-76 H 50%R/50%P 160 CM;1,215;KG
;;CARTON BOX NAOMI 80S ;1;PCS
;;BOTOL VOLARE ;9;PCS
;;CAP BOTOL BIRU MUDA ;9;PCS
;;STC LABEL HAND SANITIZING WIPES 90S ;9;PCS
;;CHEMICAL ETHANOL/ETHYL ALCOHOL ;2,125035;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0200475;KG
;;CHEMICAL FLORAESTER K-20 W JOJOBA ;0,008019;KG
;;CHEMICAL AQUADEST ;1,8563985;KG
;;;;
4010223003;FALMED ALCOHOL HAND SANITIZING 45S BTL @15;MR FN 50-76 H 50%R/50%P 160 CM;1,0125;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;BOTOL FALMED 45S ;15;PCS
;;CAP BOTOL FALMED 45S ;15;PCS
;;STC LABEL ALCOHOL HAND SANITIZING 45S ;15;PCS
;;CHEMICAL ETHANOL/ETHYL ALCOHOL ;1,7708625;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0167063;KG
;;CHEMICAL FLORAESTER K-20 W JOJOBA ;0,0066825;KG
;;CHEMICAL AQUADEST ;1,5469988;KG
;;;;
4010223004;FALMED ALCOHOL SURFACE 90S BTL @9;MR FN 50-76 H 50%R/50%P 160 CM;1,215;KG
;;CARTON BOX NAOMI 80S ;1;PCS
;;BOTOL VOLARE ;9;PCS
;;CAP BOTOL BIRU TUA ;9;PCS
;;STC LABEL ALCOHOL SURFACE 90S ;9;PCS
;;CHEMICAL ETHANOL/ETHYL ALCOHOL ;0,0212504;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0002005;KG
;;CHEMICAL FLORAESTER K-20 W JOJOBA ;0,0186442;KG
;;;;
4010223005;FALMED ALCOHOL SURFACE 45S BTL @15;MR FN 50-76 H 50%R/50%P 160 CM;1,0125;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;BOTOL FALMED 45S ;15;PCS
;;CAP BOTOL FALMED 45S ;15;PCS
;;STC LABEL ALCOHOL SURFACE 45S ;15;PCS
;;CHEMICAL ISOPROPYL ALCOHOL (IPA) ;1,7708625;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0167063;KG
;;CHEMICAL AQUADEST ;1,5536813;KG
;;;;
4010224001;WASH GLOVE GREEN TEA 18S @18;JR FN 80-25 D 50%R/40%P/10%ES 15 CM;1,7496;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING PATIENT WASH CLT BLACK @3846;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;STC LABEL FLD WASH GLOVE GREEN TEA 18S ;18;PCS
;;STC BARCODE WASH GLOVE GREEN TEA 18S ;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,005052;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0080832;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0151559;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0101039;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0202079;KG
;;PARFUM GREEN TEA ;0,0101039;KG
;;CHEMICAL AQUADEST ;6,6672532;KG
;;;;
4010224006;WASH GLOVE GREEN TEA 18S @15;JR FN 80-25 D 50%R/40%P/10%ES 15 CM;1,458;KG
;;CARTON BOX INDOMARET 50S FT @24 ;1;PCS
;;PACKAGING PATIENT WASH CLT BLACK @3846;15;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;15;PCS
;;FLIP TOP WHITE (NEW CHINA) ;15;PCS
;;STC LABEL FLD WASH GLOVE GREEN TEA 18S ;15;PCS
;;STC BARCODE WASH GLOVE GREEN TEA 18S ;15;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,00421;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006736;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0126299;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00842;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0168399;KG
;;PARFUM GREEN TEA ;0,00842;KG
;;CHEMICAL AQUADEST ;5,5560443;KG
;;;;
4010224005;WASH GLOVE GREEN TEA 18S BND @3X4;JR FN 80-25 D 50%R/40%P/10%ES 15 CM;1,1664;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING PATIENT WASH CLT BLACK @3846;12;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;12;PCS
;;FLIP TOP WHITE (NEW CHINA) ;12;PCS
;;STC LABEL FLD WASH GLOVE GREEN TEA 18S ;12;PCS
;;STC BARCODE WASH GLOVE GREEN TEA 18S ;12;PCS
;;PLASTIK PP 25X35 CM ;0,0147;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003368;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0053888;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0101039;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006736;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0134719;KG
;;PARFUM GREEN TEA ;0,006736;KG
;;CHEMICAL AQUADEST ;4,4448355;KG
;;;;
3050106002;WIP FALMED WASH GLOVE GREEN TEA 8S ;KAIN GLOVE 15CMX45CM (FN70-6H)  ;192;PCS
;;PACKAGING  GENERAL WET WIPES - PUTIH @4761;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0023814;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0133358;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0071442;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0047628;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0095256;KG
;;PARFUM GREEN TEA ;0,0047628;KG
;;CHEMICAL AQUADEST ;3,1332874;KG
;;;;
4010224008;WASH GLOVE GREEN TEA 8S @24;WIP FALMED WASH GLOVE GREEN TEA 8S ;24;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;STC FLIPTOP FALMED WASH GLOVE GREEN TEA ;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;;;
4010224002;WASH GLOVE BABY POWDERY 20S @18;JR FN 70-25 D 50%R/42.5%P/7.5%ES 15 CM;1,701;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING PATIENT WASH CLT BLACK @3846;18;PCS
;;STC LABEL WASLAP BABY POWDERY 20S ;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0049116;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0078586;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0098233;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0081861;KG
;;PARFUM POWDERY/TLJ 80050 ;0,0065489;KG
;;CHEMICAL AQUADEST ;6,5115216;KG
;;;;
4010224007;WASH GLOVE BABY POWDERY 8S @24;JR FN 70-25 D 50%R/42.5%P/7.5%ES 15 CM;0,9072;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING  GENERAL WET WIPES - PUTIH @4761;24;PCS
;;STC LABEL 8S BABY POWDERY ;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0026195;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0041913;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0052391;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0043659;KG
;;PARFUM POWDERY/TLJ 80050 ;0,0034927;KG
;;CHEMICAL AQUADEST ;3,4728115;KG
;;;;
4010224003;FALMED EXTRA THICK TOWEL 2S @8X16;JR FN 65-25 D 50%R/42.5%P/7.5%ES 15 CM;1,1232;KG
;;PACKAGING FLD TOWEL  @5714;128;PCS
;;STC LABEL FALMED THICK TOWEL 2S ;128;PCS
;;PLASTIK PP 25X40 CM ;0,048;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0037066;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,0059305;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,0111197;KG
;;PARFUM GREEN TEA ;0,0074131;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0148262;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0074131;KG
;;CHEMICAL AQUADEST ;4,8916708;KG
;;;;
